Frame,Visibility,X,Y,Time
250,1,852,391,00:00:10.0
251,1,856,386,00:00:10.040000000000003
252,1,856,378,00:00:10.08
253,1,857,373,00:00:10.120000000000001
254,1,858,370,00:00:10.16
255,1,858,368,00:00:10.200000000000001
256,1,860,370,00:00:10.24
257,1,861,371,00:00:10.28
258,1,861,371,00:00:10.32
259,1,861,373,00:00:10.36
260,1,862,376,00:00:10.4
261,1,863,381,00:00:10.44
262,1,862,385,00:00:10.48
263,1,863,385,00:00:10.52
264,1,861,382,00:00:10.56
265,1,861,383,00:00:10.6
266,1,862,383,00:00:10.64
267,1,861,385,00:00:10.68
268,1,862,385,00:00:10.72
269,1,862,385,00:00:10.76
270,0,0,0,00:00:10.8
271,0,0,0,00:00:10.84
272,0,0,0,00:00:10.88
273,0,0,0,00:00:10.92
274,0,0,0,00:00:10.96
275,0,0,0,00:00:11.0
276,0,0,0,00:00:11.040000000000003
277,0,0,0,00:00:11.08
278,0,0,0,00:00:11.120000000000001
